INPUT_TABLE
Variable ID
OutputEmissCoeffAg

region,AgSupplySector,AgSupplySubsector,AgProductionTechnology,year,Non.CO2,emiss.coef
Canada,Corn,Corn_NWTerr,Corn_NWTerr,1975,BC_AWB,1.86126e-05
Canada,FiberCrop,FiberCrop_NWTerr,FiberCrop_NWTerr,1975,BC_AWB,0
Canada,FodderGrass,FodderGrass_NWTerr,FodderGrass_NWTerr,1975,BC_AWB,0
Canada,FodderHerb,FodderHerb_NWTerr,FodderHerb_NWTerr,1975,BC_AWB,0
Canada,MiscCrop,MiscCrop_NWTerr,MiscCrop_NWTerr,1975,BC_AWB,1.52011e-05
Canada,OilCrop,OilCrop_NWTerr,OilCrop_NWTerr,1975,BC_AWB,4.66553e-05
Canada,OtherGrain,OtherGrain_NWTerr,OtherGrain_NWTerr,1975,BC_AWB,8.9152e-06
Canada,Root_Tuber,Root_Tuber_NWTerr,Root_Tuber_NWTerr,1975,BC_AWB,4.8811e-06
Canada,SugarCrop,SugarCrop_NWTerr,SugarCrop_NWTerr,1975,BC_AWB,5.4912e-06
Canada,Wheat,Wheat_NWTerr,Wheat_NWTerr,1975,BC_AWB,3.32102e-05
Russia,Corn,Corn_SiberiaW,Corn_SiberiaW,1975,BC_AWB,6.107e-05
Russia,FiberCrop,FiberCrop_SiberiaW,FiberCrop_SiberiaW,1975,BC_AWB,0
Russia,FodderGrass,FodderGrass_SiberiaW,FodderGrass_SiberiaW,1975,BC_AWB,0
Russia,FodderHerb,FodderHerb_SiberiaW,FodderHerb_SiberiaW,1975,BC_AWB,0
Russia,MiscCrop,MiscCrop_SiberiaW,MiscCrop_SiberiaW,1975,BC_AWB,9.6076e-06
Russia,OilCrop,OilCrop_SiberiaW,OilCrop_SiberiaW,1975,BC_AWB,0.0001770473
Russia,OtherGrain,OtherGrain_SiberiaW,OtherGrain_SiberiaW,1975,BC_AWB,3.45318e-05
Russia,Root_Tuber,Root_Tuber_SiberiaW,Root_Tuber_SiberiaW,1975,BC_AWB,1.60154e-05
Russia,Wheat,Wheat_SiberiaW,Wheat_SiberiaW,1975,BC_AWB,0.0001089662
Russia,Corn,Corn_LenaR,Corn_LenaR,1975,BC_AWB,6.107e-05
Russia,FiberCrop,FiberCrop_LenaR,FiberCrop_LenaR,1975,BC_AWB,0
Russia,FodderGrass,FodderGrass_LenaR,FodderGrass_LenaR,1975,BC_AWB,0
Russia,FodderHerb,FodderHerb_LenaR,FodderHerb_LenaR,1975,BC_AWB,0
Russia,MiscCrop,MiscCrop_LenaR,MiscCrop_LenaR,1975,BC_AWB,9.6076e-06
Russia,OilCrop,OilCrop_LenaR,OilCrop_LenaR,1975,BC_AWB,0.0001770473
Russia,OtherGrain,OtherGrain_LenaR,OtherGrain_LenaR,1975,BC_AWB,3.45318e-05
Russia,Root_Tuber,Root_Tuber_LenaR,Root_Tuber_LenaR,1975,BC_AWB,1.60154e-05
Russia,Wheat,Wheat_LenaR,Wheat_LenaR,1975,BC_AWB,0.0001089662
Canada,Corn,Corn_PacArctic,Corn_PacArctic,1975,BC_AWB,1.86126e-05
Canada,FiberCrop,FiberCrop_PacArctic,FiberCrop_PacArctic,1975,BC_AWB,0
Canada,FodderGrass,FodderGrass_PacArctic,FodderGrass_PacArctic,1975,BC_AWB,0
Canada,FodderHerb,FodderHerb_PacArctic,FodderHerb_PacArctic,1975,BC_AWB,0
Canada,MiscCrop,MiscCrop_PacArctic,MiscCrop_PacArctic,1975,BC_AWB,1.52011e-05
Canada,OilCrop,OilCrop_PacArctic,OilCrop_PacArctic,1975,BC_AWB,4.66553e-05
Canada,OtherGrain,OtherGrain_PacArctic,OtherGrain_PacArctic,1975,BC_AWB,8.9152e-06
Canada,Root_Tuber,Root_Tuber_PacArctic,Root_Tuber_PacArctic,1975,BC_AWB,4.8811e-06
Russia,Corn,Corn_ScndnvN,Corn_ScndnvN,1975,BC_AWB,6.107e-05
European Free Trade Association,FodderGrass,FodderGrass_ScndnvN,FodderGrass_ScndnvN,1975,BC_AWB,0
Russia,FodderGrass,FodderGrass_ScndnvN,FodderGrass_ScndnvN,1975,BC_AWB,0
European Free Trade Association,FodderHerb,FodderHerb_ScndnvN,FodderHerb_ScndnvN,1975,BC_AWB,0
Russia,FodderHerb,FodderHerb_ScndnvN,FodderHerb_ScndnvN,1975,BC_AWB,0
European Free Trade Association,MiscCrop,MiscCrop_ScndnvN,MiscCrop_ScndnvN,1975,BC_AWB,5.195e-07
Russia,MiscCrop,MiscCrop_ScndnvN,MiscCrop_ScndnvN,1975,BC_AWB,9.6076e-06
European Free Trade Association,OilCrop,OilCrop_ScndnvN,OilCrop_ScndnvN,1975,BC_AWB,1.69024e-05
Russia,OilCrop,OilCrop_ScndnvN,OilCrop_ScndnvN,1975,BC_AWB,0.0001770473
European Free Trade Association,OtherGrain,OtherGrain_ScndnvN,OtherGrain_ScndnvN,1975,BC_AWB,3.1745e-06
Russia,OtherGrain,OtherGrain_ScndnvN,OtherGrain_ScndnvN,1975,BC_AWB,3.45318e-05
